Ticker,Description,Currency,Sector,Industry Group,Industry,Sub_Industry
VRX CN Equity,Valeant Pharmaceuticals Intern,CAD,Health Care,Biotech & Pharma,Specialty Pharma,Comml Profitable Spec Pharm
TCS IN Equity,Tata Consultancy Services Ltd,INR,Technology,Technology Services,IT Services,IT Services - Commercial
AXP US Equity,American Express Co,USD,Financials,Specialty Finance,Consumer Finance,Credit & Debit
9437 JP Equity,NTT DOCOMO Inc,JPY,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
AIG US Equity,American International Group I,USD,Financials,Insurance,P&C Insurance,#N/A N/A
UNP US Equity,Union Pacific Corp,USD,Industrials,Transportation & Logistics,Rail Freight,Total Commodity - Rail
BIIB US Equity,Biogen Inc,USD,Health Care,Biotech & Pharma,Biotech,Mature Biotechnology
SAB LN Equity,SABMiller PLC,GBp,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
ALV GR Equity,Allianz SE,EUR,Financials,Insurance,P&C Insurance,#N/A N/A
BAS GR Equity,BASF SE,EUR,Materials,Chemicals,Basic & Diversified Chemicals,#N/A N/A
TD CN Equity,Toronto-Dominion Bank/The,CAD,Financials,Banking,Banks,Retail Banking
USB US Equity,US Bancorp,USD,Financials,Banking,Banks,Retail Banking
600036 CH Equity,China Merchants Bank Co Ltd,CNY,Financials,Banking,Banks,#N/A N/A
WBC AU Equity,Westpac Banking Corp,AUD,Financials,Banking,Banks,#N/A N/A
MDLZ US Equity,Mondelez International Inc,USD,Consumer Staples,Consumer Products,Packaged Food,Snack Food & Confectionary
RIO LN Equity,Rio Tinto PLC,GBp,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
RIO AU Equity,Rio Tinto Ltd,AUD,Materials,Iron & Steel,Steel Raw Material Suppliers,Iron Ore Mining
2914 JP Equity,Japan Tobacco Inc,JPY,Consumer Staples,Consumer Products,Tobacco,Tobacco Products
DGE LN Equity,Diageo PLC,GBp,Consumer Staples,Consumer Products,Beverages,Alcoholic Beverages
1299 HK Equity,AIA Group Ltd,HKD,Financials,Insurance,Life Insurance,#N/A N/A
MS US Equity,Morgan Stanley,USD,Financials,Institutional Financial Svcs,Institutional Brokerage,#N/A N/A
BARC LN Equity,Barclays PLC,GBp,Financials,Banking,Diversified Banks,#N/A N/A
KMI US Equity,Kinder Morgan Inc/DE,USD,Energy,"Oil, Gas & Coal",Midstream - Oil & Gas,Dry Natural Gas Pipelines
IVV US Equity,iShares Core S&P 500 ETF,USD,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
PCLN US Equity,Priceline Group Inc/The,USD,Communications,Media,Internet Based Services,Travel Info & Booking Web
3328 HK Equity,Bank of Communications Co Ltd,HKD,Financials,Banking,Banks,#N/A N/A
ABT US Equity,Abbott Laboratories,USD,Health Care,Medical Equipment & Devices,Life Science Equipment,In Vitro Diagnostics
LMT US Equity,Lockheed Martin Corp,USD,Industrials,Aerospace & Defense,Defense Primes,#N/A N/A
BVL VC Equity,Banco de Venezuela SA Banco Un,VEF,Financials,Banking,Banks,#N/A N/A
ACN US Equity,Accenture PLC,USD,Technology,Technology Services,IT Services,IT Services - Commercial
HMB SS Equity,Hennes & Mauritz AB,SEK,Consumer Discretionary,Retail - Discretionary,Specialty Apparel Stores,Family Clothing Stores
LOW US Equity,Lowe's Cos Inc,USD,Consumer Discretionary,Retail - Discretionary,Home Products Stores,Home Improvement Stores
TEF SM Equity,Telefonica SA,EUR,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
SABIC AB Equity,Saudi Basic Industries Corp,SAR,Materials,Chemicals,Basic & Diversified Chemicals,#N/A N/A
BMW GR Equity,Bayerische Motoren Werke AG,EUR,Consumer Discretionary,Automotive,Automobiles,Passenger Vehicles
RB/ LN Equity,Reckitt Benckiser Group PLC,GBp,Consumer Staples,Consumer Products,Household Products,Home Products
COST US Equity,Costco Wholesale Corp,USD,Consumer Staples,Retail - Consumer Staples,Mass Merchants,Warehouse Clubs
9433 JP Equity,KDDI Corp,JPY,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
9984 JP Equity,SoftBank Group Corp,JPY,Communications,Telecom,Telecom Carriers,Wireless Telecom Services
